Date,Lat,Lon,Presence,SST,Chlorophyll,Salinity,Bathymetry
2002-02-06,41.93,-70.52,1,,,,
2002-02-06,43.19802,-69.33916,0,,,,
2002-02-06,40.33925,-72.16347,0,,,,
2002-02-06,42.25602,-67.03558,0,,,,
2002-02-06,40.64759,-68.32839,0,,,,
2002-02-07,41.88,-70.28,1,,,,
2002-02-07,42.24,-70.2,1,,,,
2002-02-07,42.2,-70.2,1,,,,
2002-02-07,42.15,-70.33,1,,,,
2002-02-07,40.60682,-68.38024,0,,,,
2002-02-07,41.86185,-68.04344,0,,,,
2002-02-07,40.42558,-67.58953,0,,,,
2002-02-07,42.08889,-67.27368,0,,,,
2002-02-07,42.45872,-68.41379,0,,,,
2002-02-07,41.29693,-67.36977,0,,,,
2002-02-07,41.48842,-70.20327,0,,,,
2002-02-07,43.02916,-70.40658,0,,,,
2002-02-07,40.42193,-69.33582,0,,,,
2002-02-07,41.80064,-67.05514,0,,,,
2002-02-07,40.81446,-67.54868,0,,,,
2002-02-07,41.16174,-71.8166,0,,,,
2002-02-07,42.26939,-68.2973,0,,,,
2002-02-07,41.85806,-68.52385,0,,,,
2002-02-07,42.13133,-67.37883,0,,,,
2002-02-07,41.11806,-71.7135,0,,,,
2002-02-14,41.84,-70.24,1,,,,
2002-02-14,43.37895,-69.01177,0,,,,
2002-02-14,39.35385,-69.0416,0,,,,
2002-02-14,39.77933,-68.51838,0,,,,
2002-02-14,40.57701,-72.20874,0,,,,
2002-02-17,41.93,-70.13,1,,,,
2002-02-17,42.00097,-68.04137,0,,,,
2002-02-17,41.72389,-68.22322,0,,,,
2002-02-17,40.50958,-68.73686,0,,,,
2002-02-17,40.6675,-73.26076,0,,,,
2002-02-22,41.93,-70.26,1,,,,
2002-02-22,42.03943,-68.60347,0,,,,
2002-02-22,40.5207,-69.23219,0,,,,
2002-02-22,40.49606,-73.19846,0,,,,
2002-02-22,42.56081,-69.21357,0,,,,
2002-02-23,41.93,-70.14,1,,,,
2002-02-23,40.29095,-69.21605,0,,,,
2002-02-23,40.99702,-69.33486,0,,,,
2002-02-23,42.11991,-66.80859,0,,,,
2002-02-23,41.44429,-66.78902,0,,,,
2002-02-25,41.79,-70.2,1,,,,
2002-02-25,42.57912,-69.33983,0,,,,
2002-02-25,41.18006,-72.97777,0,,,,
2002-02-25,40.52039,-72.37632,0,,,,
2002-02-25,41.70412,-69.27435,0,,,,
2002-02-26,41.89,-70.31,1,,,,
2002-02-26,43.68013,-69.53972,0,,,,
2002-02-26,40.86403,-69.89758,0,,,,
2002-02-26,40.05487,-72.86703,0,,,,
2002-02-26,40.1787,-69.80646,0,,,,
2002-03-01,41.87,-70.14,1,,,,
2002-03-01,42.12,-70.51,1,,,,
2002-03-01,40.84182,-70.37636,0,,,,
2002-03-01,43.67497,-67.95805,0,,,,
2002-03-01,41.34099,-70.08611,0,,,,
2002-03-01,40.84786,-72.2115,0,,,,
2002-03-01,42.45077,-68.13176,0,,,,
2002-03-01,43.85046,-67.84239,0,,,,
2002-03-01,42.86085,-69.89534,0,,,,
2002-03-01,43.06905,-68.11975,0,,,,
2002-03-02,41.84,-70.35,1,,,,
2002-03-02,41.88,-70.17,1,,,,
2002-03-02,41.89,-70.13,1,,,,
2002-03-02,40.12839,-68.44274,0,,,,
2002-03-02,40.83815,-71.08905,0,,,,
2002-03-02,40.46987,-68.73038,0,,,,
2002-03-02,40.54111,-72.1735,0,,,,
2002-03-02,40.17008,-70.77219,0,,,,
2002-03-02,41.93691,-68.57714,0,,,,
2002-03-02,41.24627,-69.90762,0,,,,
2002-03-02,40.76408,-70.42209,0,,,,
2002-03-02,40.11432,-69.27916,0,,,,
2002-03-02,39.75701,-69.44319,0,,,,
2002-03-02,41.58169,-69.67085,0,,,,
2002-03-02,41.25719,-71.62838,0,,,,
2002-03-05,41.98,-70.12,1,,,,
2002-03-05,39.68735,-68.46393,0,,,,
2002-03-05,42.3246,-69.1792,0,,,,
2002-03-05,43.7659,-69.01285,0,,,,
2002-03-05,42.59852,-66.72796,0,,,,
2002-03-07,41.91,-70.2,1,,,,
2002-03-07,40.76873,-68.4303,0,,,,
2002-03-07,40.01569,-71.53359,0,,,,
2002-03-07,40.98869,-68.16623,0,,,,
2002-03-07,43.70432,-68.76301,0,,,,
2002-03-15,41.84,-70.21,1,,,,
2002-03-15,41.79,-70.17,1,,,,
2002-03-15,43.37738,-69.71261,0,,,,
2002-03-15,40.92537,-67.41586,0,,,,
2002-03-15,43.0036,-69.94553,0,,,,
2002-03-15,41.70707,-69.72439,0,,,,
2002-03-15,42.18842,-67.51871,0,,,,
2002-03-15,40.61754,-67.33826,0,,,,
2002-03-15,41.64427,-66.91416,0,,,,
2002-03-15,41.8948,-67.51476,0,,,,
2002-03-21,38.62,-75.02,1,,,,
2002-03-21,40.90248,-73.69096,0,,,,
2002-03-21,38.67673,-72.9164,0,,,,
2002-03-21,37.35167,-73.22997,0,,,,
2002-03-21,37.2798,-72.06407,0,,,,
2002-03-25,42.05,-70.04,1,,,,
2002-03-25,40.45546,-71.43956,0,,,,
2002-03-25,41.38228,-69.27845,0,,,,
2002-03-25,39.84557,-68.49351,0,,,,
2002-03-25,40.43352,-70.88041,0,,,,
2002-03-28,40.18,-73.7,1,,,,
2002-03-28,42.47,-70.27,1,,,,
2002-03-28,39.64839,-71.09113,0,,,,
2002-03-28,39.94213,-70.5347,0,,,,
2002-03-28,39.63156,-71.66048,0,,,,
2002-03-28,40.74247,-72.68682,0,,,,
2002-03-28,41.26471,-72.19678,0,,,,
2002-03-28,42.28257,-66.91314,0,,,,
2002-03-28,40.03081,-71.77141,0,,,,
2002-03-28,40.96347,-69.75879,0,,,,
2002-03-29,42.38,-70.45,1,,,,
2002-03-29,42.12,-70.1,1,,,,
2002-03-29,41.80081,-67.89726,0,,,,
2002-03-29,42.58544,-70.42458,0,,,,
2002-03-29,39.9245,-70.70396,0,,,,
2002-03-29,42.89435,-69.62987,0,,,,
2002-03-29,44.10833,-68.04117,0,,,,
2002-03-29,41.53575,-66.72945,0,,,,
2002-03-29,42.09017,-66.81728,0,,,,
2002-03-29,41.59963,-68.28491,0,,,,
2002-03-31,42.17,-70.28,1,,,,
2002-03-31,42.33,-69.95,1,,,,
2002-03-31,42.18,-70.35,1,,,,
2002-03-31,43.08174,-68.6929,0,,,,
2002-03-31,40.21119,-72.30764,0,,,,
2002-03-31,41.32001,-71.17284,0,,,,
2002-03-31,41.14356,-72.68727,0,,,,
2002-03-31,40.6346,-71.90247,0,,,,
2002-03-31,41.59101,-66.52472,0,,,,
2002-03-31,42.20505,-68.09148,0,,,,
2002-03-31,42.87432,-67.61983,0,,,,
2002-03-31,43.32991,-69.12832,0,,,,
